outflow,time,size,area,rho
0,2,2,3,0.875
0,0,0,1,0.90625
5,99,163,32,0.78125
0,0,0,1,0.8125
0,76,206,28,0.84375
0,2,2,3,0.875
0,5,7,7,0.90625
2,108,222,25,0.875
4,38,78,16,0.78125
0,55,89,20,0.8125
2,26,64,17,0.78125
1,2,2,3,0.78125
1,69,102,29,0.78125
0,8,10,6,0.8125
2,2,2,2,0.78125
0,13,22,11,0.8125
3,23,29,10,0.75
0,7,8,7,0.78125
0,12,12,7,0.8125
0,1,1,3,0.84375
1,106,213,28,0.84375
1,1,1,2,0.84375
1,1,1,2,0.84375
2,107,270,32,0.8125
0,0,0,1,0.84375
0,3,3,5,0.875
2,11,13,4,0.84375
0,47,73,19,0.875
4,217,501,32,0.78125
0,21,46,14,0.8125
0,0,0,1,0.84375
0,81,103,15,0.875
0,15,18,8,0.90625
2,3,3,2,0.875
1,16,24,7,0.875
0,0,0,1,0.90625
0,2,2,3,0.9375
1,79,199,20,0.9375
5,89,254,32,0.8125
2,40,62,16,0.78125
0,45,98,14,0.8125
0,37,41,14,0.84375
3,195,394,27,0.78125
0,22,29,12,0.8125
0,0,0,1,0.84375
2,55,112,21,0.8125
0,18,31,11,0.84375
1,52,74,13,0.84375
0,128,203,25,0.875
4,150,372,32,0.78125
1,28,41,9,0.78125
0,0,0,1,0.8125
0,40,90,27,0.84375
0,60,84,16,0.875
3,163,355,32,0.8125
0,34,56,15,0.84375
0,0,0,1,0.875
3,129,353,32,0.8125
0,0,0,1,0.84375
0,14,16,6,0.875
0,6,6,8,0.90625
2,56,119,24,0.875
2,19,33,10,0.84375
0,8,10,8,0.875
2,117,205,21,0.84375
0,17,25,17,0.875
0,6,8,5,0.90625
2,13,26,13,0.875
0,2,2,4,0.90625
0,15,18,7,0.9375
0,40,72,18,0.96875
0,0,0,1,1.0
2,17,22,5,0.96875
5,199,651,32,0.84375
3,84,168,32,0.78125
0,52,100,16,0.8125
2,108,220,17,0.78125
0,3,4,4,0.8125
2,3,3,2,0.78125
0,66,128,17,0.8125
2,33,63,13,0.78125
0,25,25,9,0.8125
0,8,12,5,0.84375
1,129,281,29,0.84375
0,43,108,19,0.875
1,17,26,11,0.875
4,52,69,8,0.78125
1,73,150,25,0.78125
0,62,107,15,0.8125
0,36,61,10,0.84375
0,17,30,11,0.875
2,210,639,32,0.84375
1,74,146,20,0.84375
0,0,0,1,0.875
0,0,0,1,0.90625
4,122,314,32,0.8125
0,35,40,12,0.84375
2,17,17,8,0.8125
0,34,75,26,0.84375
0,0,0,1,0.875
0,7,10,6,0.90625
4,136,312,27,0.8125
0,0,0,1,0.84375
2,105,268,21,0.8125
0,1,1,3,0.84375
2,97,175,18,0.8125
1,48,77,11,0.8125
0,0,0,1,0.84375
2,37,58,15,0.8125
0,49,51,12,0.84375
0,83,144,16,0.875
0,0,0,1,0.90625
2,66,138,24,0.875
0,34,54,9,0.90625
0,56,112,23,0.9375
4,103,189,15,0.84375
2,53,86,19,0.8125
1,1,1,2,0.8125
0,64,132,17,0.84375
0,0,0,1,0.875
1,87,138,27,0.875
1,8,8,8,0.875
2,32,48,11,0.84375
0,56,70,13,0.875
0,18,18,8,0.90625
2,83,135,20,0.875
0,21,28,8,0.90625
0,3,4,4,0.9375
4,143,357,32,0.84375
2,1,1,1,0.8125
0,91,171,23,0.84375
2,105,225,31,0.8125
0,4,4,3,0.84375
0,0,0,1,0.875
0,11,12,7,0.90625
0,15,19,9,0.9375
2,70,127,17,0.90625
2,5,5,3,0.875
3,23,40,14,0.8125
0,77,92,16,0.84375
1,31,45,10,0.84375
1,166,348,32,0.84375
1,19,19,10,0.84375
0,0,0,1,0.875
0,51,137,21,0.90625
0,14,24,10,0.9375
3,59,119,13,0.875
2,63,173,23,0.84375
2,146,377,31,0.8125
2,15,19,9,0.78125
0,0,0,1,0.8125
2,1,1,1,0.78125
0,12,16,6,0.8125
0,7,9,7,0.84375
1,6,11,8,0.84375
0,0,0,1,0.875
2,27,34,8,0.84375
0,4,4,3,0.875
1,178,403,32,0.875
0,56,92,18,0.90625
0,7,10,5,0.9375
1,18,62,22,0.9375
3,68,129,21,0.875
0,0,0,1,0.90625
1,65,114,15,0.90625
3,83,194,22,0.84375
0,23,43,20,0.875
4,133,264,26,0.78125
0,0,0,1,0.8125
0,17,28,12,0.84375
0,2,2,3,0.875
1,18,18,11,0.875
0,1,1,3,0.90625
0,173,415,29,0.9375
3,5,5,3,0.875
0,26,44,11,0.90625
5,123,267,32,0.78125
0,37,46,18,0.8125
1,34,37,14,0.8125
0,48,109,20,0.84375
1,274,617,25,0.84375
3,125,311,25,0.78125
0,0,0,1,0.8125
0,38,49,20,0.84375
2,141,240,21,0.8125
0,0,0,1,0.84375
3,116,235,29,0.78125
0,30,51,15,0.8125
0,48,116,12,0.84375
2,95,266,28,0.8125
0,0,0,1,0.84375
0,2,2,3,0.875
1,60,151,27,0.875
0,177,313,21,0.90625
3,114,172,32,0.84375
0,0,0,1,0.875
0,22,26,8,0.90625
0,8,10,5,0.9375
5,51,151,32,0.8125
3,24,29,10,0.75
0,4,4,4,0.78125
1,88,124,16,0.78125
2,6,6,3,0.75
0,36,53,16,0.78125
0,76,163,29,0.8125
0,0,0,1,0.84375
